id;frequency_power_mean;frequency_power_median;frequency_power_deviation;amplitude_mean_mean;amplitude_mean_median;amplitude_mean_deviation;weighted_frequency_mean;weighted_frequency_median;weighted_frequency_deviation;label
disco_74;10728601000000.0;1238814400000.0;37766646000000.0;65287.914;41033.344;81823.29;144.66351827224386;97.3207181996553;152.29406525646476;disco
disco_73;3211099000000.0;537444750000.0;10575115000000.0;37975.89;27189.117;45193.168;153.0031837683384;104.71556719427292;152.61266936327914;disco
disco_94;3170377400000.0;262999160000.0;22382130000000.0;28793.477;18204.207;60145.734;74.27039036666258;48.42421294993513;93.7058999989898;disco
disco_95;3676080000000.0;327005700000.0;22834011000000.0;28036.078;16646.604;49763.207;121.7737634749334;80.15658197370134;131.23360020560338;disco
disco_87;4382672300000.0;239254700000.0;16521384000000.0;36964.977;17440.895;58883.02;102.1689309384205;66.00402997939196;129.02022141384646;disco
disco_78;1795902100000.0;92281580000.0;9290532000000.0;18911.336;9761.372;32271.738;84.49397289321723;54.16060718889311;116.25773818119676;disco
disco_75;3957515600000.0;557736260000.0;19133958000000.0;38778.734;28723.387;55473.64;117.9921592139138;78.56501695650729;127.73769021097384;disco
disco_96;2984553200000.0;572859940000.0;15453981000000.0;30594.742;22832.354;44269.78;147.18271483140893;99.05139209571404;146.70749522383733;disco
disco_85;3195856700000.0;260006480000.0;25691651000000.0;25741.312;18235.291;48437.277;66.59620094635257;44.29567906492715;83.81064104399651;disco
disco_97;4132590600000.0;389908400000.0;36678152000000.0;32810.305;22181.414;61418.25;84.92690308026292;57.1649866150049;95.145369589561;disco
disco_91;12141319000000.0;1266471700000.0;75595460000000.0;47749.883;27277.99;92430.5;103.65519635472737;68.88715744854449;115.8769442441932;disco
disco_72;2596696500000.0;543585400000.0;12212131000000.0;32504.91;23188.447;36470.07;173.214730722974;121.74530811913726;156.95169363865963;disco
disco_89;3275403300000.0;225251300000.0;11909802000000.0;33497.242;15677.092;51552.875;122.56386367332084;80.34118932555315;140.6592614025076;disco
disco_81;2508091000000.0;106820140000.0;12902139000000.0;21798.09;10040.035;38176.6;87.54812057588909;55.90853709056479;114.37616056103562;disco
disco_92;3779803500000.0;381308370000.0;19282128000000.0;32881.125;22390.918;57017.41;113.32440756435524;74.30682581503399;127.77434828361058;disco
disco_79;2613334200000.0;232522990000.0;20395870000000.0;24263.664;15554.777;46302.574;78.6005441984733;51.32017122105261;96.51333899369816;disco
disco_86;8822036000000.0;448498500000.0;31191180000000.0;49416.836;19816.514;80850.33;122.1603360184929;79.43435714555102;142.40915108308934;disco
disco_93;8086083300000.0;766362600000.0;39567424000000.0;50226.543;26053.88;77543.984;129.34228205632326;87.06483739285675;133.74430820859712;disco
disco_90;3267367000000.0;229986400000.0;19729020000000.0;28709.426;17965.762;48637.484;81.04843197855786;51.97621410011048;103.50957966633862;disco
disco_88;5030477000000.0;325537100000.0;27519370000000.0;37752.477;19179.096;61322.38;114.57979519209567;74.2516639646322;129.54863980336995;disco
jazz_22;973480300000.0;3366313200.0;6935894600000.0;7278.517;1899.9396;20969.334;74.71472080265919;47.80957228434856;133.55165576944674;jazz
jazz_27;554407900000.0;6630655500.0;3238530400000.0;8789.826;2952.1934;20463.031;90.94408925824204;57.45306116990252;122.31795867723304;jazz
jazz_8;4592142000000.0;20340224000.0;30492148000000.0;21135.137;4360.885;58998.883;51.74230664332711;31.449558449197426;91.28357377713338;jazz
jazz_14;760154600000.0;2486974700.0;5098305500000.0;5737.544;769.05273;15340.36;130.7627343829834;85.86619691949406;165.25469296011076;jazz
jazz_1;224533540000.0;4049265000.0;971486500000.0;5422.1924;1339.5936;12293.9375;81.37058936076508;51.559492117372685;122.21706449624295;jazz
jazz_9;2356030500000.0;914284000.0;15896828000000.0;10881.746;920.8035;41147.83;46.58269513609467;28.81973508316046;103.59685063300796;jazz
jazz_7;3256914800000.0;9224636000.0;16278725000000.0;12289.931;1963.1119;32764.871;114.49761834201004;75.34583466459907;165.03661958548383;jazz
jazz_2;2216441000000.0;3449614300.0;9232196000000.0;15478.604;1232.218;36247.574;99.54165056569713;63.30119742974459;140.75784334385764;jazz
jazz_10;1714060300000.0;3466906600.0;9870536000000.0;11245.172;1039.591;31841.89;76.37332825272128;47.19131969481475;114.78024899636505;jazz
jazz_17;1027263040000.0;15361378000.0;6359685000000.0;11443.467;4324.5264;24545.854;84.10208500047177;53.00768922003823;124.65012005478413;jazz
jazz_0;1111840300000.0;50480650000.0;5553028000000.0;13245.633;4328.3286;23501.97;104.75010495660428;68.39601670254805;134.45903248507958;jazz
jazz_5;4071633500000.0;41455313000.0;23129565000000.0;17889.723;4880.3916;47878.027;90.40086099098718;57.25453439314023;136.30751330182275;jazz
jazz_11;1812191800000.0;25349628000.0;8369159500000.0;16228.242;5575.5483;33565.676;108.37446027700103;69.69360919259097;146.1694679576783;jazz
jazz_16;1454389600000.0;8345455000.0;4856273000000.0;10954.102;2268.849;22537.713;135.61883291021897;88.96441065853095;166.2474561194258;jazz
