id;frequency_power_mean;frequency_power_median;frequency_power_deviation;amplitude_mean_mean;amplitude_mean_median;amplitude_mean_deviation;weighted_frequency_mean;weighted_frequency_median;weighted_frequency_deviation;label
disco_74;12775655000000.0;1469314800000.0;44838940000000.0;71213.625;44726.453;89182.11;144.8361834633629;97.45222656394792;152.39224429634444;disco
disco_73;3844698000000.0;639276740000.0;12688620000000.0;41425.387;29688.541;49341.832;152.53092183916152;104.35468032732317;152.32080289199533;disco
disco_94;3784178100000.0;310360600000.0;26599326000000.0;31413.645;19730.268;65672.49;74.2068306336786;48.37891439883826;93.67939593238653;disco
disco_95;4377370700000.0;391343960000.0;27184310000000.0;30511.23;18146.658;54143.973;122.0770246576964;80.37804925252607;131.4472577753751;disco
disco_87;5225293300000.0;285375140000.0;19664042000000.0;40298.08;18917.191;64167.945;102.22223992847498;66.0435877985959;129.0659828638779;disco
disco_78;2141774200000.0;110552710000.0;11057855000000.0;20597.586;10595.106;35075.5;84.48463891944547;54.15557544834326;116.23920487839544;disco
disco_75;4710255000000.0;665052640000.0;22734200000000.0;42256.297;31232.617;60328.598;118.18814394087394;78.70768777655141;127.89360877671938;disco
disco_96;3558205300000.0;678355300000.0;18408289000000.0;33298.25;24886.95;48244.16;147.1986813054275;99.06477236035444;146.71219312776523;disco
disco_85;3809426500000.0;308504950000.0;30591588000000.0;27969.656;19895.736;52468.74;66.67677425649428;44.34803111272113;83.86483055637265;disco
disco_97;4925058000000.0;464121950000.0;43615780000000.0;35683.625;24217.969;66840.76;84.85139786624845;57.1103351744883;95.1045070165727;disco
disco_91;14497641000000.0;1511926400000.0;90199880000000.0;52050.19;29777.898;100631.94;103.65120238050903;68.88834345791707;115.87790973123252;disco
disco_72;3094934200000.0;647133130000.0;14481759000000.0;35441.25;25186.402;39747.113;173.20355894307488;121.73229317364412;156.9533439144909;disco
disco_89;3901479200000.0;267852610000.0;14152421000000.0;36498.805;17028.582;56118.387;122.61687764277002;80.37955817766627;140.69814289351632;disco
disco_81;2994105000000.0;127058936000.0;15405554000000.0;23731.682;10946.076;41484.92;87.45372324077286;55.84518126427977;114.2897616495086;disco
disco_92;4512192400000.0;452556300000.0;22952840000000.0;35877.535;24374.303;62193.23;113.43561713151216;74.38491954257589;127.85871732862536;disco
disco_79;3116914200000.0;275843060000.0;24305375000000.0;26418.748;16934.184;50451.19;78.56456747915229;51.30240554522759;96.45796255251298;disco
disco_86;10520196000000.0;534767000000.0;37162674000000.0;53859.77;21694.996;88058.55;122.2103472037521;79.47176874941681;142.4319103550507;disco
disco_93;9643047000000.0;929483500000.0;47169415000000.0;54740.402;28354.559;84472.42;129.47154809011337;87.18524037570292;133.7663632072903;disco
disco_90;3909109000000.0;269798950000.0;23687466000000.0;31259.809;19512.523;52928.76;80.71372033210764;51.7473134743955;103.25184455102423;disco
disco_88;5993557000000.0;388122250000.0;32749346000000.0;41155.094;20864.254;66670.75;114.61094797454776;74.27647616874995;129.56252213539068;disco
jazz_22;1160633400000.0;4050204000.0;8220007500000.0;7896.5938;2082.054;22808.082;74.71058427963177;47.80664716978077;133.54402054691653;jazz
jazz_27;660241840000.0;7848195000.0;3838903300000.0;9559.866;3217.6606;22295.096;90.92251037232096;57.439321295083005;122.31450289372286;jazz
jazz_8;5481912300000.0;24359162000.0;36338760000000.0;23021.646;4760.746;64364.16;51.74428562478275;31.452693082913772;91.27928404719096;jazz
jazz_14;906460140000.0;2967268900.0;6037216700000.0;6227.0596;847.8561;16691.516;130.7701551297508;85.87145320257206;165.25606896476876;jazz
jazz_1;267324690000.0;4819188700.0;1152757700000.0;5918.673;1455.0942;13408.752;81.41107037176059;51.5861882675386;122.2344875386656;jazz
jazz_9;2808628000000.0;1125428700.0;18872216000000.0;11875.033;1034.5612;44826.688;46.57735245481133;28.81656430274422;103.5777304968331;jazz
jazz_7;3882644700000.0;11124856000.0;19340714000000.0;13361.301;2162.2258;35717.605;114.4901707615114;75.34052547368606;165.02780173574365;jazz
jazz_2;2641670700000.0;4110775300.0;10968464000000.0;16866.727;1376.5068;39452.44;99.54507276781564;63.30427076918224;140.75736800457335;jazz
jazz_10;2045140500000.0;4104234500.0;11711865000000.0;12225.175;1164.6771;34603.05;76.32954662314361;47.16288384816178;114.73573745723232;jazz
jazz_17;1224076000000.0;18364969000.0;7562583300000.0;12457.09;4714.7944;26699.932;84.14485393380886;53.0363246803947;124.6769828309041;jazz
jazz_0;1323835900000.0;60420520000.0;6585522000000.0;14452.305;4728.4375;25631.773;104.72481055288834;68.38001831736148;134.41348465031845;jazz
jazz_5;4856385400000.0;48733725000.0;27479108000000.0;19480.715;5347.6104;52203.836;90.34263241594822;57.21493942368403;136.25340033743677;jazz
jazz_11;2162597700000.0;30340313000.0;9921021000000.0;17680.867;6104.757;36626.465;108.35327985132542;69.67922331651904;146.14547588790234;jazz
jazz_16;1733717000000.0;9869320000.0;5758190600000.0;11898.692;2476.6643;24562.75;135.60693048325197;88.95599569222178;166.23616796335634;jazz
