id;frequency_power_mean;frequency_power_median;frequency_power_deviation;amplitude_mean_mean;amplitude_mean_median;amplitude_mean_deviation;weighted_frequency_mean;weighted_frequency_median;weighted_frequency_deviation;label
disco_74;12052383000000.0;1382124100000.0;42022728000000.0;69135.33;43346.203;86686.66;144.83191722661718;97.45074307720137;152.3498966787853;disco
disco_73;3628506000000.0;596568300000.0;11916390000000.0;40199.164;28722.953;47903.793;152.5043052828383;104.33052007561804;152.31408761611277;disco
disco_94;3569513700000.0;297217300000.0;24645260000000.0;30564.77;19142.59;63843.586;74.24870369300709;48.40591189222572;93.70997679073332;disco
disco_95;4128820400000.0;369802840000.0;25504455000000.0;29450.402;17412.383;52537.08;122.14851701909151;80.4289570562315;131.50288736030674;disco
disco_87;4922693000000.0;269370670000.0;18431791000000.0;39093.652;18293.508;62412.28;102.28690748126029;66.08784029693257;129.132609694007;disco
disco_78;2020622000000.0;103963100000.0;10335019000000.0;20006.758;10252.957;34025.754;84.51847496443642;54.178367215600616;116.26305576989108;disco
disco_75;4439298500000.0;625484900000.0;21308109000000.0;40965.906;30203.031;58630.105;118.23230895486878;78.73520331071413;127.95055122403905;disco
disco_96;3356017600000.0;637966100000.0;17184579000000.0;32215.719;24046.04;46890.86;147.1349454159746;99.01938923812423;146.65481044862466;disco
disco_85;3587928800000.0;291221670000.0;28626546000000.0;26831.727;19091.469;50273.906;66.7173631257595;44.37560200871563;83.88929482110585;disco
disco_97;4650645000000.0;439569220000.0;40582706000000.0;34582.008;23344.746;64756.082;84.76165797471147;57.04527442065151;95.03600821225618;disco
disco_91;13714051000000.0;1427688700000.0;84782070000000.0;50476.43;28664.607;97929.51;103.54085946730068;68.8113818046996;115.79298151541752;disco
disco_72;2922596000000.0;611113440000.0;13476089000000.0;34415.297;24362.814;38605.773;173.22163944614954;121.74556696366152;156.96847736396398;disco
disco_89;3683525900000.0;251761690000.0;13247226000000.0;35466.176;16514.004;54729.9;122.59623101978336;80.36271783342127;140.70003259134512;disco
disco_81;2825640200000.0;119760140000.0;14490615000000.0;22973.56;10608.67;40149.707;87.46280436476482;55.85221687113867;114.28333779381826;disco
disco_92;4258272000000.0;431176740000.0;21386985000000.0;34907.17;23677.736;60534.797;113.63102136778063;74.52401893524808;127.99732001032818;disco
disco_79;2936938000000.0;260032510000.0;22716722000000.0;25581.652;16255.846;49082.207;78.68792173923777;51.38719125581453;96.54070632899354;disco
disco_86;9914524000000.0;509437540000.0;34799513000000.0;52272.223;20934.48;85873.29;122.4951667017381;79.67879097506128;142.61762713774309;disco
disco_93;9106522000000.0;880886500000.0;44408406000000.0;53073.133;27358.158;82114.375;129.40141456012083;87.14025209884218;133.6922280042019;disco
disco_90;3687863800000.0;256405730000.0;22293124000000.0;30282.348;18814.8;51130.75;80.68995564477406;51.73100387302529;103.22376272880122;disco
disco_88;5652012300000.0;363992020000.0;30798286000000.0;40020.062;20291.07;64593.21;114.60425815674124;74.27293322240212;129.55937136946207;disco
jazz_22;1095455870000.0;3847160000.0;7548085000000.0;7775.12;2010.0294;22440.293;74.69524005260917;47.79604765139025;133.5380839656894;jazz
jazz_27;622214250000.0;7498489000.0;3541566200000.0;9296.814;3122.6426;21725.309;90.83494868060843;57.37865421615388;122.25593836388455;jazz
jazz_8;5175408300000.0;22927880000.0;33956137000000.0;22525.8;4584.1567;63425.715;51.7012999179864;31.424981566937213;91.24908234683592;jazz
jazz_14;855531850000.0;2782480600.0;5529846000000.0;6132.262;798.0521;16344.091;130.7632841055201;85.86560633800539;165.25233721014362;jazz
jazz_1;252235370000.0;4502621000.0;1072316900000.0;5793.3203;1403.8179;13095.378;81.45476939721436;51.61611173339497;122.27851010829784;jazz
jazz_9;2648277800000.0;1038125200.0;17482619000000.0;11728.973;968.0324;44265.19;46.5604999668452;28.80536216409293;103.56622268255596;jazz
jazz_7;3664540000000.0;10460604000.0;17920575000000.0;13072.334;2047.3682;35027.98;114.48409217575188;75.33623378635501;165.03048921780058;jazz
jazz_2;2492058300000.0;3860706000.0;10222755000000.0;16586.229;1282.2754;38927.344;99.55147650358025;63.30838727192497;140.76644551303158;jazz
jazz_10;1930977100000.0;3907776500.0;10811896000000.0;12055.209;1102.9019;34116.375;76.30722025440025;47.14709051764019;114.70830953319252;jazz
jazz_17;1156832300000.0;17218190000.0;7036001600000.0;12109.426;4583.996;25869.176;84.08721002072406;52.99703948889552;124.64749125334004;jazz
jazz_0;1250229700000.0;57665085000.0;6081683000000.0;14099.928;4585.363;24977.322;104.70940544556048;68.36848254733798;134.39412482185924;jazz
jazz_5;4583140000000.0;46158512000.0;25496648000000.0;18956.176;5138.192;50968.023;90.23458559890688;57.14010593828277;136.16472693718504;jazz
jazz_11;2042294700000.0;29151093000.0;9110830000000.0;17320.32;5922.5566;35744.855;108.312578586721;69.64913374403787;146.11677886450116;jazz
jazz_16;1634904800000.0;9445444000.0;5309696000000.0;11739.326;2397.1504;24213.492;135.63891876800125;88.97890803205028;166.2593883202965;jazz
jazz_15;1505627300000.0;22130647000.0;5809589000000.0;16219.748;5271.8027;31134.736;111.56594344989372;71.6773698891242;146.85185297115956;jazz
jazz_3;1594851100000.0;1698812400.0;8774977300000.0;12731.45;1131.4663;38543.117;68.00366747857419;42.91923238279617;125.80588780698434;jazz
jazz_20;337619700000.0;1143988900.0;1895546600000.0;4136.95;890.5806;12150.594;70.00280976414936;43.659275758338005;118.90821775539774;jazz
jazz_29;489634400000.0;18381154000.0;1898281800000.0;10534.632;4801.307;17776.877;110.68166842824976;71.77151455862253;135.4665440795618;jazz
jazz_23;2895728600000.0;57554797000.0;17467120000000.0;18980.512;8094.4146;42823.543;93.67158074300949;60.32649483380815;138.53783384517456;jazz
jazz_21;909340400000.0;135566150000.0;4051805400000.0;18349.625;13496.555;24401.266;145.00888254480014;98.78752514173404;145.43607450097156;jazz
blues_19;4027970000000.0;18622386000.0;19516327000000.0;19464.9;3370.5137;47531.617;116.59508814791008;75.14545257592695;149.1954264643337;blues
blues_7;7640311700000.0;254137270000.0;43465518000000.0;32221.273;11481.5;72824.96;116.02391409693956;75.1156737135404;140.85989685298796;blues
blues_4;3707753700000.0;344360350000.0;10966032000000.0;29034.812;14635.605;47169.63;167.20351768231137;113.4016435002416;177.4867791285034;blues
blues_20;2675724800000.0;15093971000.0;14759759000000.0;15993.229;3367.5452;40908.363;95.27405828092468;60.55531161826691;135.48297857358423;blues
blues_15;3065766700000.0;24397100000.0;12528082000000.0;17083.77;3911.547;36101.207;126.27119664717844;82.18152751301548;156.15238691171467;blues
blues_18;3081101000000.0;10972801000.0;21032560000000.0;14015.57;3337.9636;36346.156;84.01946589217707;53.77537700664274;129.31181146853808;blues
blues_94;8370697300000.0;146600180000.0;74954790000000.0;24361.898;7399.0073;84623.41;44.845976362808514;27.51927211373244;79.72263685257532;blues
blues_1;3844006200000.0;80371500000.0;20216111000000.0;22176.104;7926.0474;55107.016;66.00055006897075;41.55220987405129;105.90339812736262;blues
blues_95;12182406000000.0;241118230000.0;67613275000000.0;41326.414;12596.44;108938.23;63.511615736052015;39.60416291276432;106.63776135764832;blues
blues_9;3618772000000.0;134925420000.0;14182010000000.0;20290.902;9168.052;36119.707;121.36395236945404;79.8776213272476;152.2193872476717;blues
blues_13;5692972000000.0;10680406000.0;69321255000000.0;20499.453;3793.8728;70693.33;55.25888476423438;34.876122489037385;107.5797509945072;blues
blues_6;9605606000000.0;309366300000.0;35429920000000.0;34468.383;11412.959;66384.23;135.14102728412146;88.65654278770896;161.09570723351672;blues
blues_11;2277572000000.0;20059167000.0;22883303000000.0;10587.927;3496.2769;36820.215;34.41374605636172;21.109068979807244;81.08615380246681;blues
blues_96;1158768900000.0;17391172000.0;5794029400000.0;9194.137;2525.387;27568.271;61.09599335021948;38.413505839362266;109.3090442389041;blues
blues_2;11236907000000.0;209650580000.0;37449607000000.0;51901.184;15352.798;100152.68;105.469050267679;67.58535209529143;144.41103321158815;blues
blues_16;3145479500000.0;20402465000.0;12001063000000.0;18124.555;3912.1309;37668.83;125.0096326666658;81.34927111774596;158.66612536407382;blues
blues_0;6522571000000.0;157330650000.0;24448806000000.0;38002.703;13847.317;70689.52;90.16755942573258;57.55317001725235;131.53549882320095;blues
blues_99;5496713500000.0;88587076000.0;17090408000000.0;31349.355;8117.9316;51757.867;147.79038464958649;98.42547626850136;174.14752675704474;blues
blues_17;3587185600000.0;13580953000.0;25300510000000.0;18521.262;3053.1316;53248.746;77.33257727876094;48.4791989826099;116.07798735992388;blues
