id;frequency_power_mean;frequency_power_median;frequency_power_deviation;amplitude_mean_mean;amplitude_mean_median;amplitude_mean_deviation;weighted_frequency_mean;weighted_frequency_median;weighted_frequency_deviation;label
disco_74;12775655000000.0;1469314800000.0;44838940000000.0;71213.625;44726.453;89182.11;144.8361834633629;97.45222656394793;152.39224429634444;disco
disco_73;3844698000000.0;639276740000.0;12688620000000.0;41425.387;29688.541;49341.832;152.53092183916152;104.35468032732317;152.32080289199533;disco
disco_94;3784178100000.0;310360600000.0;26599326000000.0;31413.645;19730.268;65672.49;74.2068306336786;48.37891439883826;93.67939593238653;disco
disco_95;4377370700000.0;391343960000.0;27184310000000.0;30511.23;18146.658;54143.973;122.0770246576964;80.37804925252607;131.4472577753751;disco
disco_87;5225293300000.0;285375140000.0;19664042000000.0;40298.08;18917.191;64167.945;102.22223992847498;66.0435877985959;129.06598286387793;disco
disco_78;2141774200000.0;110552710000.0;11057855000000.0;20597.586;10595.106;35075.5;84.48463891944547;54.15557544834326;116.23920487839543;disco
disco_75;4710255000000.0;665052640000.0;22734200000000.0;42256.297;31232.617;60328.598;118.18814394087394;78.70768777655141;127.89360877671938;disco
disco_96;3558205300000.0;678355300000.0;18408289000000.0;33298.25;24886.95;48244.16;147.1986813054275;99.06477236035444;146.71219312776523;disco
disco_85;3809426500000.0;308504950000.0;30591588000000.0;27969.656;19895.736;52468.74;66.67677425649428;44.34803111272113;83.86483055637265;disco
disco_97;4925058000000.0;464121950000.0;43615780000000.0;35683.625;24217.969;66840.76;84.85139786624845;57.1103351744883;95.1045070165727;disco
disco_91;14497641000000.0;1511926400000.0;90199880000000.0;52050.19;29777.898;100631.94;103.65120238050903;68.88834345791707;115.87790973123253;disco
disco_72;3094934200000.0;647133130000.0;14481759000000.0;35441.25;25186.402;39747.113;173.20355894307488;121.73229317364411;156.9533439144909;disco
disco_89;3901479200000.0;267852610000.0;14152421000000.0;36498.805;17028.582;56118.387;122.61687764277002;80.37955817766627;140.69814289351632;disco
disco_81;2994105000000.0;127058936000.0;15405554000000.0;23731.682;10946.076;41484.92;87.45372324077286;55.84518126427977;114.2897616495086;disco
disco_92;4512192400000.0;452556300000.0;22952840000000.0;35877.535;24374.303;62193.23;113.43561713151217;74.38491954257589;127.85871732862537;disco
disco_79;3116914200000.0;275843060000.0;24305375000000.0;26418.748;16934.184;50451.19;78.56456747915229;51.302405545227586;96.45796255251298;disco
disco_86;10520196000000.0;534767000000.0;37162674000000.0;53859.77;21694.996;88058.55;122.2103472037521;79.47176874941681;142.4319103550507;disco
disco_93;9643047000000.0;929483500000.0;47169415000000.0;54740.402;28354.559;84472.42;129.47154809011337;87.18524037570292;133.7663632072903;disco
disco_90;3909109000000.0;269798950000.0;23687466000000.0;31259.809;19512.523;52928.76;80.71372033210764;51.7473134743955;103.25184455102423;disco
disco_88;5993557000000.0;388122250000.0;32749346000000.0;41155.094;20864.254;66670.75;114.61094797454777;74.27647616874995;129.56252213539068;disco
disco_83;3091822000000.0;93403230000.0;16696933000000.0;24923.188;10547.911;51800.06;70.02788828069471;44.12189458389657;105.27537161708905;disco
disco_76;6384040000000.0;320910520000.0;20484582000000.0;44846.65;20009.912;61571.277;122.2565663023758;80.27693541689912;146.67997882096307;disco
disco_80;1580499900000.0;106557680000.0;11052024000000.0;15535.781;8759.3125;34448.395;62.2542163656707;40.64013707430545;86.62026079488453;disco
disco_84;2111276600000.0;183547890000.0;12429549000000.0;22366.44;11827.49;33795.33;116.60378250219676;76.42229004256203;125.90712023336667;disco
disco_99;5859502500000.0;572479770000.0;28694448000000.0;44711.33;27250.45;70662.336;98.36638743874641;64.87902682589439;117.24515979542866;disco
disco_70;4807335000000.0;531465400000.0;16814454000000.0;45134.586;27346.615;61713.18;130.17454885747784;86.47710473020433;142.76207301098924;disco
disco_77;16745072000000.0;1191358600000.0;93968870000000.0;67474.04;37403.76;117498.09;110.29655413836636;71.8369006619775;128.27601834523395;disco
disco_71;3934528200000.0;514948100000.0;20098381000000.0;37687.785;26163.996;50193.23;125.72679439159191;84.69386603005302;130.95588078438098;disco
disco_98;5859502500000.0;572479770000.0;28694448000000.0;44711.33;27250.45;70662.336;98.36638743874641;64.87902682589439;117.24515979542866;disco
disco_82;14079799000000.0;1987689300000.0;69706040000000.0;66750.97;46175.902;95476.75;116.31075803400272;79.1254230800817;123.36342641052835;disco
jazz_22;1160633400000.0;4050204000.0;8220007500000.0;7896.5938;2082.054;22808.082;74.71058427963177;47.806647169780774;133.54402054691653;jazz
jazz_27;660241840000.0;7848195000.0;3838903300000.0;9559.866;3217.6606;22295.096;90.92251037232097;57.439321295083005;122.31450289372286;jazz
jazz_8;5481912300000.0;24359162000.0;36338760000000.0;23021.646;4760.746;64364.16;51.74428562478275;31.452693082913775;91.27928404719097;jazz
jazz_14;906460140000.0;2967268900.0;6037216700000.0;6227.0596;847.8561;16691.516;130.7701551297508;85.87145320257206;165.25606896476876;jazz
jazz_1;267324690000.0;4819188700.0;1152757700000.0;5918.673;1455.0942;13408.752;81.41107037176059;51.5861882675386;122.23448753866559;jazz
jazz_9;2808628000000.0;1125428700.0;18872216000000.0;11875.033;1034.5612;44826.688;46.57735245481133;28.81656430274422;103.5777304968331;jazz
jazz_7;3882644700000.0;11124856000.0;19340714000000.0;13361.301;2162.2258;35717.605;114.49017076151141;75.34052547368606;165.02780173574365;jazz
jazz_2;2641670700000.0;4110775300.0;10968464000000.0;16866.727;1376.5068;39452.44;99.54507276781564;63.30427076918224;140.75736800457335;jazz
jazz_10;2045140500000.0;4104234500.0;11711865000000.0;12225.175;1164.6771;34603.05;76.32954662314361;47.16288384816178;114.73573745723232;jazz
jazz_17;1224076000000.0;18364969000.0;7562583300000.0;12457.09;4714.7944;26699.932;84.14485393380886;53.0363246803947;124.6769828309041;jazz
jazz_0;1323835900000.0;60420520000.0;6585522000000.0;14452.305;4728.4375;25631.773;104.72481055288834;68.38001831736148;134.41348465031845;jazz
jazz_5;4856385400000.0;48733725000.0;27479108000000.0;19480.715;5347.6104;52203.836;90.34263241594822;57.21493942368403;136.25340033743677;jazz
jazz_11;2162597700000.0;30340313000.0;9921021000000.0;17680.867;6104.757;36626.465;108.35327985132542;69.67922331651904;146.14547588790234;jazz
jazz_16;1733717000000.0;9869320000.0;5758190600000.0;11898.692;2476.6643;24562.75;135.60693048325197;88.95599569222178;166.23616796335634;jazz
jazz_15;1595016200000.0;23387783000.0;6250482000000.0;16636.246;5421.0913;31906.428;111.50937425077562;71.6385477592676;146.82085306288053;jazz
jazz_3;1691591400000.0;1824443900.0;9543306000000.0;12933.494;1192.0093;39509.715;67.97386116717664;42.90012335451345;125.77638406120705;jazz
jazz_20;357827600000.0;1215333600.0;2051304800000.0;4230.3247;928.33026;12331.245;69.99763371494949;43.656765300355985;118.88977574892411;jazz
jazz_29;519387280000.0;19588348000.0;2041606000000.0;10817.094;4935.391;18301.275;110.61086073525411;71.72282158507568;135.41526125350705;jazz
jazz_23;3065458000000.0;60973883000.0;18944568000000.0;19397.346;8404.123;43759.613;93.75181531313154;60.38440649428708;138.60337125749177;jazz
jazz_21;962874800000.0;141899280000.0;4343202600000.0;18859.672;13818.713;25066.03;145.04783588610582;98.81867708533008;145.44882010474163;jazz
jazz_19;983656900000.0;4336398300.0;4933691000000.0;9999.87;2140.1992;25005.107;82.08514457330845;51.64688897435362;130.01648120760643;jazz
jazz_25;2210282900000.0;21083668000.0;12281841000000.0;13789.332;4679.811;33202.902;99.34254768544531;64.10700239559978;147.50668780212933;jazz
jazz_26;469513670000.0;551843600.0;3394212000000.0;3984.3872;685.87524;13775.337;80.50716011230925;51.35926843263664;135.43235056971696;jazz
jazz_24;1518510900000.0;47023300000.0;6579796000000.0;16445.402;7373.3203;29004.082;105.36104435934911;67.5829615674418;140.84426386503156;jazz
jazz_6;3864778500000.0;28239413000.0;19231335000000.0;19461.115;3926.873;48871.266;78.96572129314214;49.57112686628888;119.0111772028691;jazz
jazz_13;1190428900000.0;15968925000.0;7129183000000.0;13219.279;4948.357;32642.373;60.27754388346386;37.637109991658676;106.65411228243603;jazz
jazz_28;1041479600000.0;16196728000.0;3521080700000.0;12020.481;4351.055;22302.012;119.8733036937857;77.86826553737171;154.78672431027152;jazz
jazz_4;4921650000000.0;11786435000.0;35527850000000.0;15540.551;2493.3064;52051.727;73.30589765118062;46.5056697973519;130.10123743676468;jazz
jazz_12;594526700000.0;8262413300.0;2743601200000.0;9658.33;3118.3723;20869.332;88.37419634377864;55.699788543540315;126.5334384761044;jazz
jazz_18;1056877700000.0;20331401000.0;6634157000000.0;14845.832;5561.5522;29990.018;91.04041274453346;57.39238247112854;125.86795796467075;jazz
blues_19;4268235000000.0;19416232000.0;20894070000000.0;20107.027;3519.1787;48908.91;116.56744501428282;75.12642111732825;149.17234854969956;blues
blues_7;8093221000000.0;266826060000.0;46850783000000.0;33171.656;11907.395;74636.09;116.23585804480891;75.26530080441837;140.98291506784963;blues
blues_4;3913619000000.0;364466240000.0;11705773000000.0;29878.996;15175.154;48482.27;167.11667704615326;113.33581537460466;177.4337497847903;blues
blues_20;2838854400000.0;16390394000.0;16091994000000.0;16486.43;3511.632;42198.164;95.29514054136128;60.57114201325115;135.47380179971765;blues
blues_15;3252620400000.0;25928286000.0;13563801000000.0;17658.86;4052.9287;37240.566;126.08815019142848;82.05298870260441;156.03562617538657;blues
blues_18;3265858400000.0;11661281000.0;22635472000000.0;14397.605;3459.7673;37338.19;83.99969560551233;53.76262896192133;129.29684152302175;blues
blues_94;8870666000000.0;152046030000.0;80612040000000.0;24935.496;7706.9053;86139.32;44.82579411306456;27.506873496391798;79.69817952700159;blues
blues_1;4073162800000.0;83779944000.0;21868554000000.0;22781.367;8193.518;56644.08;65.92451027303869;41.49921235711858;105.8777394201496;blues
blues_95;12929036000000.0;256108760000.0;72467420000000.0;42383.887;13076.916;111392.016;63.50691363551168;39.60475105108728;106.6121772110426;blues
blues_9;3838047700000.0;142365980000.0;15222233000000.0;20849.055;9478.148;37029.816;121.3884832791125;79.89994479150639;152.23435341376475;blues
blues_13;6029647500000.0;11317041000.0;75787684000000.0;21044.488;3917.3196;72766.56;55.23214912913488;34.86112254719079;107.5702591855454;blues
